trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
172,False,"{'a': 0.75, 'e': 0.9464086523995652}",20,0,-68.15522502592101,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
173,False,"{'a': 0.75, 'e': 0.945792983625976}",20,0,-84.53124206321907,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
174,False,"{'a': 0.75, 'e': 0.9451738970560446}",20,0,-183.37742374256464,"{0: 7, 1: 5, 2: 5, 3: 0, 4: 3}",0
175,False,"{'a': 0.75, 'e': 0.9445513949269538}",30,0,-83.55913627336895,"{0: 20, 1: 1, 2: 8, 3: 1, 4: 0}",0
176,False,"{'a': 0.75, 'e': 0.9439254794882292}",20,0,-60.42698460254627,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
177,False,"{'a': 0.75, 'e': 0.9432961530017311}",25,15,-79.17003975324599,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
178,False,"{'a': 0.75, 'e': 0.942663417741646}",35,1,-85.75529918141281,"{0: 22, 1: 2, 2: 9, 3: 1, 4: 0}",1
179,False,"{'a': 0.75, 'e': 0.9420272759944787}",30,12,-158.26607893408135,"{0: 7, 1: 2, 2: 6, 3: 1, 4: 2}",1
180,False,"{'a': 0.75, 'e': 0.9413877300590441}",20,0,-83.79229006111356,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
181,False,"{'a': 0.75, 'e': 0.9407447822464589}",20,0,-70.60064153878065,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
